,response_time,self_sentiment,replied_sentiment,user_id,language,mention_count,airline,tweet_length,user
0,no_reply,[],Null,,3420691215,0,3420691215,140,not_airline
1,no_reply,[british_airways],Null,,394376606,0,394376606,16,not_airline
2,no_reply,[americanair],Null,,36488556,0,36488556,140,not_airline
3,no_reply,[klm],Null,,14193348,0,14193348,140,not_airline
4,no_reply,[easyjet],Null,,1025334292166127617,0,1025334292166127617,77,not_airline
5,no_reply,[british_airways],Null,,1662186764,0,1662186764,112,not_airline
6,no_reply,[easyjet],Null,,19610469,0,19610469,173,not_airline
7,no_reply,[americanair],Null,,2730172562,0,2730172562,279,not_airline
8,no_reply,[americanair],Null,,415065617,0,415065617,49,not_airline
9,no_reply,[easyjet],Null,,210981687,0,210981687,131,not_airline
10,no_reply,[virginatlantic],Null,,288109185,0,288109185,60,not_airline
11,no_reply,[americanair],Null,,2740476184,0,2740476184,276,not_airline
12,no_reply,"[etihadairways, etihad]",Null,,49439949,0,49439949,81,not_airline
13,no_reply,[americanair],Null,,319360391,0,319360391,67,not_airline
14,no_reply,[ryanair],Null,,1582838545,0,1582838545,41,not_airline
15,no_reply,[],Null,,224916583,0,224916583,140,not_airline
16,no_reply,[americanair],Null,,814961064051961861,0,814961064051961861,70,not_airline
17,no_reply,[ryanair],Null,,21404541,0,21404541,151,not_airline
18,no_reply,[],Null,,18332190,0,18332190,138,not_airline
19,no_reply,[],Null,,25155337,0,25155337,26,not_airline
20,no_reply,[ryanair],Null,,1024338385404682246,0,1024338385404682246,140,not_airline
21,no_reply,[americanair],Null,,224414541,0,224414541,131,not_airline
22,no_reply,[ryanair],Null,,30691018,0,30691018,139,not_airline
23,no_reply,[],Null,,18332190,0,18332190,107,not_airline
24,no_reply,[],Null,,471878399,0,471878399,89,not_airline
25,no_reply,[americanair],Null,,839511316712796161,0,839511316712796161,256,not_airline
26,no_reply,[],Null,,839511316712796161,0,839511316712796161,140,not_airline
27,no_reply,[ryanair],Null,,183402202,0,183402202,307,not_airline
28,no_reply,[british_airways],Null,,3363341139,0,3363341139,140,not_airline
29,no_reply,"[easyjet, ryanair]",Null,,307863635,0,307863635,28,not_airline
30,no_reply,[ryanair],Null,,1277970080,0,1277970080,38,not_airline
31,no_reply,[],Null,,18332190,0,18332190,105,not_airline
32,no_reply,[],Null,,18332190,0,18332190,106,not_airline
33,no_reply,[klm],Null,,728236673037914112,0,728236673037914112,172,not_airline
34,no_reply,[americanair],Null,,929369002861907969,0,929369002861907969,107,not_airline
35,no_reply,[ryanair],Null,,949573140,0,949573140,140,not_airline
36,no_reply,[americanair],Null,,404741587,0,404741587,143,not_airline
37,0.039820555555555553,[virginatlantic],0.0291504,,399986728,0,399986728,35,not_airline
38,no_reply,[easyjet],Null,,211830847,0,211830847,140,not_airline
39,0.05509888888888889,[],-0.860331,,38676903,0,38676903,195,not_airline
40,no_reply,[americanair],Null,,22283971,0,22283971,140,not_airline
41,no_reply,[],Null,,218730857,0,218730857,120,not_airline
42,no_reply,[],Null,,1542862735,0,1542862735,93,not_airline
43,no_reply,[ryanair],Null,,1121856339297415174,0,1121856339297415174,68,not_airline
44,no_reply,[klm],Null,,1328529979,0,1328529979,140,not_airline
45,no_reply,[klm],Null,,1328529979,0,1328529979,140,not_airline
46,no_reply,[klm],Null,,551990221,0,551990221,140,not_airline
47,no_reply,[americanair],Null,,204548115,0,204548115,152,not_airline
48,no_reply,[ryanair],Null,,391576911,0,391576911,38,not_airline
49,no_reply,[singaporeair],Null,,339580924,0,339580924,140,not_airline
50,no_reply,[],Null,,47997665,0,47997665,126,not_airline
51,no_reply,[],Null,,839511316712796161,0,839511316712796161,140,not_airline
52,no_reply,[americanair],Null,,413084297,0,413084297,140,not_airline
53,no_reply,[airfrance],Null,,888817472,0,888817472,263,not_airline
