Airline,Language,ParticipatedPercentage,TotalConversations,ParticipatedConversations
KLM,ar,3.2258,248,8
KLM,de,43.1655,1807,780
KLM,en,56.4719,123079,69505
KLM,fr,14.7527,2264,334
KLM,hi,100.0000,1,1
KLM,it,36.4807,466,170
KLM,pt,41.0072,973,399
AirFrance,ar,10.7143,28,3
AirFrance,de,16.3121,141,23
AirFrance,en,33.8984,37400,12678
AirFrance,fr,13.7311,18185,2497
AirFrance,hi,0.0000,3,0
AirFrance,it,19.0361,415,79
AirFrance,pt,20.2443,573,116
British_Airways,ar,1.2959,926,12
British_Airways,de,13.5802,243,33
British_Airways,en,47.2095,385471,181979
British_Airways,fr,7.2860,549,40
British_Airways,hi,6.8966,58,4
British_Airways,it,4.2735,351,15
British_Airways,pt,10.3896,154,16
AmericanAir,ar,3.4091,88,3
AmericanAir,de,5.5319,470,26
AmericanAir,en,35.0461,579149,202969
AmericanAir,fr,19.3694,222,43
AmericanAir,hi,0.0000,9,0
AmericanAir,it,15.9420,483,77
AmericanAir,pt,15.1575,1524,231
Lufthansa,ar,2.6415,265,7
Lufthansa,de,11.3102,7533,852
Lufthansa,en,39.4846,65775,25971
Lufthansa,fr,12.4260,1521,189
Lufthansa,hi,0.0000,3,0
Lufthansa,it,6.1224,980,60
Lufthansa,pt,5.4230,461,25
AirBerlin,de,0.0000,249,0
AirBerlin,en,0.0000,219,0
AirBerlin,fr,0.0000,5,0
AirBerlin,it,0.0000,3,0
easyJet,ar,0.0000,38,0
easyJet,de,25.1821,2196,553
easyJet,en,48.5941,219720,106771
easyJet,fr,48.8980,18739,9163
easyJet,it,38.6818,1851,716
easyJet,pt,38.6243,378,146
RyanAir,ar,7.0175,57,4
RyanAir,de,2.6951,1781,48
RyanAir,en,32.4975,208133,67638
RyanAir,fr,10.0887,7444,751
RyanAir,it,2.8547,2347,67
RyanAir,pt,7.6677,1252,96
SingaporeAir,ar,0.6993,143,1
SingaporeAir,de,5.4945,91,5
SingaporeAir,en,53.1499,40081,21303
SingaporeAir,fr,17.6471,68,12
SingaporeAir,hi,0.0000,4,0
SingaporeAir,it,41.6667,24,10
SingaporeAir,pt,37.5000,24,9
Qantas,ar,0.0000,61,0
Qantas,de,3.7838,185,7
Qantas,en,17.9767,118275,21262
Qantas,fr,15.7895,228,36
Qantas,it,11.6838,291,34
Qantas,pt,19.6653,239,47
EtihadAirways,ar,17.4743,1362,238
EtihadAirways,de,0.5882,1530,9
EtihadAirways,en,15.1930,26058,3959
EtihadAirways,fr,3.1726,788,25
EtihadAirways,hi,50.0000,2,1
EtihadAirways,it,8.3333,24,2
EtihadAirways,pt,0.4717,212,1
VirginAtlantic,ar,0.0000,10,0
VirginAtlantic,de,18.5185,135,25
VirginAtlantic,en,32.2239,120001,38669
VirginAtlantic,fr,7.8759,419,33
VirginAtlantic,hi,100.0000,1,1
VirginAtlantic,it,47.1861,231,109
VirginAtlantic,pt,1.5385,455,7
