bin_id,sentiment,Tstart,Tend,bin_position
30,0.00000,1584639951625,1584644883280,1
31,0.90000,1584639951625,1584644883280,2
46,0.00000,1584643709196,1584644607541,1
47,0.40000,1584643709196,1584644607541,2
48,0.10000,1584631285427,1584644597648,1
49,0.10000,1584631285427,1584644597648,2
50,0.26667,1584631285427,1584644597648,3
57,-0.25000,1584538493635,1584644503459,1
58,0.06667,1584538493635,1584644503459,2
59,0.00000,1584538493635,1584644494164,1
60,0.60000,1584538493635,1584644494164,2
71,0.10000,1584640289534,1584644304665,1
72,0.10000,1584640289534,1584644304665,2
73,1.00000,1584640289534,1584644304665,3
99,0.00000,1584610200148,1584643845457,1
100,0.00000,1584610200148,1584643845457,2
107,0.10000,1584543412671,1584643725443,1
108,0.50000,1584543412671,1584643725443,2
129,0.15000,1584635387157,1584642598406,1
132,0.00000,1584356611184,1584642254459,1
133,0.00000,1584356611184,1584642254459,2
137,0.00000,1584576354594,1584642037244,1
138,0.00000,1584576354594,1584642037244,2
146,-0.70000,1584627718182,1584641766274,1
147,0.70000,1584627718182,1584641766274,2
188,-0.80000,1584640289534,1584641633069,1
242,-0.80000,1584639624484,1584641457920,1
243,-0.30000,1584639624484,1584641457920,2
244,-0.70000,1584639624484,1584641457920,3
260,-0.80000,1584363930525,1584641413362,1
280,-0.90000,1584639624484,1584641359218,1
281,-0.80000,1584639624484,1584641359218,2
286,-0.80000,1584383548918,1584641352229,1
288,-0.40000,1584640289534,1584641348319,1
289,-0.90000,1584640289534,1584641348319,2
297,-0.55000,1584558384160,1584641332289,1
298,-0.50000,1584641209316,1584641326856,1
299,-0.40000,1584641209316,1584641326856,2
300,-0.50000,1584641209316,1584641326856,3
306,-0.32500,1584638355803,1584641304935,1
328,-0.90000,1584640289534,1584641263218,1
329,-0.50000,1584640289534,1584641263218,2
368,-0.83333,1584637171922,1584641149838,1
369,0.00000,1584640701773,1584641141726,1
370,-0.33333,1584640701773,1584641141726,2
371,-0.80000,1584640701773,1584641141726,3
377,-0.70000,1584591799036,1584641117534,1
378,-0.90000,1584591799036,1584641117534,2
409,-0.40000,1584114633752,1584641032291,1
410,-0.90000,1584114633752,1584641032291,2
428,0.30000,1584602624193,1584640999501,1
429,0.00000,1584602624193,1584640999501,2
439,-0.50000,1584604189844,1584640974066,1
448,-0.85000,1584640784787,1584640945096,1
454,-0.90000,1584640289534,1584640917211,1
455,0.40000,1584640289534,1584640917211,2
456,-0.90000,1584640289534,1584640917211,3
490,-0.10000,1584226869251,1584640827076,1
491,-0.60000,1584226869251,1584640827076,2
492,0.10000,1584226869251,1584640827076,3
534,-0.10000,1584640289534,1584640707261,1
543,-0.80000,1584538493635,1584640685192,1
544,-0.80000,1584538493635,1584640685192,2
569,-0.70000,1584630445957,1584640629806,1
570,-0.70000,1584630445957,1584640629806,2
580,-0.30000,1584567029465,1584640586174,1
581,-0.90000,1584567029465,1584640586174,2
582,-0.20000,1584631285427,1584640573305,1
586,-0.90000,1584630402151,1584640551394,1
597,0.50000,1584640289534,1584640511911,1
598,0.30000,1584640289534,1584640511911,2
639,-0.60000,1584640289534,1584640399492,1
640,0.30000,1584640289534,1584640399492,2
641,-0.20000,1584640289534,1584640399492,3
642,-0.30000,1584639055640,1584640399385,1
651,-0.90000,1584639055640,1584640372320,1
653,-0.80000,1584538493635,1584640366916,1
654,-0.80000,1584538493635,1584640366916,2
655,0.30000,1584538493635,1584640366916,3
656,-0.80000,1584538493635,1584640366916,4
657,-0.90000,1584538493635,1584640366916,5
658,-0.10000,1584640289534,1584640365841,1
684,-0.20000,1584117294453,1584640279936,1
688,-0.90000,1584619924282,1584640235678,1
689,-0.90000,1584619924282,1584640235678,2
706,-0.10000,1584631285427,1584640191539,1
